Fecha;Últ precio;Volumen;;;;;;
3/01/2019;67,3;5629162;;;;;;
2/01/2019;70,94;3629478;;;;;;
31/12/2018;71,8;2138731;;;;;;
28/12/2018;70,95;2165817;;;;;;
27/12/2018;70,33;2203325;;;;;;
26/12/2018;69,51;2606185;;;;;;
24/12/2018;66,51;2015807;;;;;;
21/12/2018;66,47;5417270;;;;;;
20/12/2018;67,5;4862902;;;;;;
19/12/2018;69,66;4020817;;;;;;
18/12/2018;70,49;2402018;;;;;;
17/12/2018;70,27;4462365;;;;;;
14/12/2018;71,86;2524331;;;;;;
13/12/2018;72,22;1785473;;;;;;
12/12/2018;72,78;2004531;;;;;;
11/12/2018;72,4;3296435;;;;;;
10/12/2018;72,67;3277965;;;;;;
7/12/2018;72,86;3067678;;;;;;
6/12/2018;75,59;2342910;;;;;;
4/12/2018;75,15;4194166;;;;;;
3/12/2018;77,97;2836507;;;;;;
30/11/2018;75,54;4767447;;;;;;
29/11/2018;76,46;1970295;;;;;;
28/11/2018;76,95;4285898;;;;;;
27/11/2018;75,17;5549616;;;;;;
26/11/2018;75,09;3508382;;;;;;
23/11/2018;73,12;1095278;;;;;;
21/11/2018;72,57;2499484;;;;;;
20/11/2018;71,49;5740090;;;;;;
19/11/2018;71,2;4401511;;;;;;
16/11/2018;73,04;4737859;;;;;;
15/11/2018;72,89;4069783;;;;;;
14/11/2018;71,08;3790671;;;;;;
13/11/2018;70,86;2346634;;;;;;
12/11/2018;70,19;4186283;;;;;;
9/11/2018;71,16;3249406;;;;;;
8/11/2018;72,02;2369368;;;;;;
7/11/2018;72,97;2263317;;;;;;
6/11/2018;70,59;3991643;;;;;;
5/11/2018;72,4;2633086;;;;;;
2/11/2018;72,82;2982284;;;;;;
1/11/2018;72,65;3044292;;;;;;
31/10/2018;71,17;5039273;;;;;;
30/10/2018;68,7;3200491;;;;;;
29/10/2018;68,6;6077473;;;;;;
26/10/2018;68,27;5634588;;;;;;
25/10/2018;67,55;11014312;;;;;;
24/10/2018;63,82;13473022;;;;;;
23/10/2018;68,87;8984634;;;;;;
22/10/2018;70,16;4126144;;;;;;
19/10/2018;70,66;7481975;;;;;;
18/10/2018;72,05;3723165;;;;;;
17/10/2018;74,52;1777682;;;;;;
16/10/2018;74,63;1927371;;;;;;
15/10/2018;72,99;2993961;;;;;;
12/10/2018;73,62;3676409;;;;;;
11/10/2018;73,1;5944487;;;;;;
10/10/2018;73,4;7380633;;;;;;
9/10/2018;75,23;6070661;;;;;;
8/10/2018;74,95;5211739;;;;;;
5/10/2018;74,38;3622183;;;;;;
4/10/2018;75,41;4779435;;;;;;
3/10/2018;76,55;4619556;;;;;;
2/10/2018;77,08;4398394;;;;;;
1/10/2018;78,39;4116921;;;;;;
28/09/2018;80,78;4263008;;;;;;
27/09/2018;82,04;2654114;;;;;;
26/09/2018;80,66;2168232;;;;;;
25/09/2018;80,11;2533348;;;;;;
24/09/2018;80,16;2265294;;;;;;
21/09/2018;80,96;6804423;;;;;;
20/09/2018;81,08;3516894;;;;;;
19/09/2018;80,43;2327528;;;;;;
18/09/2018;79,39;2703742;;;;;;
17/09/2018;79,1;3394955;;;;;;
14/09/2018;80,06;3229477;;;;;;
13/09/2018;78,94;3745571;;;;;;
12/09/2018;77,96;3110946;;;;;;
11/09/2018;77,41;2774882;;;;;;
10/09/2018;76,59;2029671;;;;;;
7/09/2018;76,44;2973973;;;;;;
6/09/2018;75,69;4244169;;;;;;
