upc,descrip,price,q,sales,volsales,unit,descrip1,descrip2,descrip3,descrip4,descrip5,descrip6
3410000358,MILLER LITE BEER N.R,.67511779,14357.893,9490.0098,5097051.764,Oz,MILLER,LITE,BEER,N.R,,
3410000359,MILLER LITE 40OZ NR,.59716493,7054.3208,4212.23,2504283.872,Oz,MILLER,LITE,40OZ,NR,,
3410000369,MILLER LITE 22OZ NR,.8675611,179.60695,155.82001,63760.46704,Oz,MILLER,LITE,22OZ,NR,,
3410000382,MILLER LITE BEER N.R,.69234782,125803.5,86293.719,44660242.73,Oz,MILLER,LITE,BEER,N.R,,
3410000544,LEINENKUGEL RED,1.0794334,758.74774,810.02002,269355.4412,Oz,LEINENKUGEL,RED,,,,
3410000554,MILLER GENUINE DRAFT,.63338858,779116.94,490218.25,276586513.4,Oz,MILLER,GENUINE,DRAFT,,,
3410000559,MILLER GENUINE DRAFT,.59719855,17590.816,10505.21,6244739.959,Oz,MILLER,GENUINE,DRAFT,,,
3410000569,MILLER GENUINE DRAFT,.8675611,471.01004,408.63,167208.5693,Oz,MILLER,GENUINE,DRAFT,,,
3410000581,MILLER GENUINE DRAFT,.71358973,67156.336,47931.211,23840499.16,Oz,MILLER,GENUINE,DRAFT,,,
3410000654,MILWAUKEE'S BEST LIG,.38607368,210152.13,78267.477,74604003.70999999,Oz,MILWAUKEE'S,BEST,LIG,,,
3410000769,LEINENKUGEL LIMITED,1.0749701,232.75595,249.17999,82628.36005,Oz,LEINENKUGEL,LIMITED,,,,
3410000879,ICEHOUSE CAN,.6559577,9974.6826,6535.27,3541012.587,Oz,ICEHOUSE,CAN,,,,
3410000894,ICEHOUSE 22OX NR,.8675611,27.49086,23.85,9759.255249,Oz,ICEHOUSE,22OX,NR,,,
3410000904,MILLER GENUINE DRAFT,.63240904,298634.69,187796.44,106015319.2,Oz,MILLER,GENUINE,DRAFT,,,
3410001225,MILLER HIGH LIFE N.R,.53295493,263.91223,134.86,93688.84862999999,Oz,MILLER,HIGH,LIFE,N.R,,
3410001306,MILLER HIGH LIFE BEE,.46788734,959153.06,436821.84,340499341.9,Oz,MILLER,HIGH,LIFE,BEE,,
3410001341,MILLER HIGH LIFE PAR,.38567725,1743230.4,655746.69,618846778.2,Oz,MILLER,HIGH,LIFE,PAR,,
3410001347,MILLER HIGH LIFE PAR,.39238968,269.91025,105.91,95818.13965,Oz,MILLER,HIGH,LIFE,PAR,,
3410001505,MILLER HIGH LIFE LNN,.60861945,569906.5,324082.25,202316808.4,Oz,MILLER,HIGH,LIFE,LNN,,
3410001518,MILLER REG BEER,.64092731,51.316269,32.889996,18217.27612,Oz,MILLER,REG,BEER,,,
3410001525,MILLER HIGH LIFE N.R,.61448532,305508.41,173938.72,108455487.9,Oz,MILLER,HIGH,LIFE,N.R,,
3410001528,MILLER HIGH LIFE N.R,.56639606,633461.38,339855.56,224878786.4,Oz,MILLER,HIGH,LIFE,N.R,,
3410001579,MILLER HIGH LIFE NR,.8289389,38917.563,31851.971,13815734.19,Oz,MILLER,HIGH,LIFE,NR,,
3410001602,MILLER HIGH LIFE BEE,.57428598,414066.31,226711.42,146993543.6,Oz,MILLER,HIGH,LIFE,BEE,,
3410007306,MILWAUKEE'S BEST LIG,.31915849,431664.47,135636.77,153240886.4,Oz,MILWAUKEE'S,BEST,LIG,,,
3410007602,MILWAUKEE'S BEST LIG,.3581363,95272.32,33950.688,33821674.04,Oz,MILWAUKEE'S,BEST,LIG,,,
3410010505,MILLER SHARP'S N/A L,.55772424,1183496.5,654803.81,420141250.5,Oz,MILLER,SHARP'S,N/A,L,,
3410010602,SHARPS NON-ALCOHOLIC,.48041898,303607.03,142090.06,107780502.3,Oz,SHARPS,NON-ALCOHOLIC,,,,
3410015304,MILLER GENUINE DRAFT,.63521111,29.990026,19.049999,10646.45996,Oz,MILLER,GENUINE,DRAFT,,,
3410015306,MILLER GENUINE DRFT,.47362673,4618416.5,2134947.3,1639537803,Oz,MILLER,GENUINE,DRFT,,,
3410015505,MILLER GEN DRFT LT L,.61336702,1119113.9,644767.31,397285430.3,Oz,MILLER,GEN,DRFT,LT,L,
3410015525,MILLER GENUINE DRFT,.61923689,477459.25,274294.13,169498030.8,Oz,MILLER,GENUINE,DRFT,,,
3410015528,MILLER GENUINE DRFT,.57178885,1555102.9,837181.25,552061535.8,Oz,MILLER,GENUINE,DRFT,,,
3410015579,MILLER GEN DRFT LT L,.83214915,50117.336,40815.961,17791654.82,Oz,MILLER,GEN,DRFT,LT,L,
3410015602,MILLER GENUINE DRAFT,.58441502,1142008.3,634889.75,405412937.7,Oz,MILLER,GENUINE,DRAFT,,,
3410016505,MILLER RESERVE LT LN,.66390198,33055.008,21093.25,11734528.17,Oz,MILLER,RESERVE,LT,LN,,
3410017306,MILLER GENUINE DRAFT,.47426748,9145591,4222496.5,3246684815,Oz,MILLER,GENUINE,DRAFT,,,
3410017505,MILLER GEN DRFT LNNR,.61394,2455118.8,1410313.1,871567122.6,Oz,MILLER,GEN,DRFT,LNNR,,
3410017525,MILLER GENUINE DRAFT,.62053001,1010040.1,579192,358564255,Oz,MILLER,GENUINE,DRAFT,,,
3410017528,MILLER GENUINE DRAFT,.57404423,3380032,1822241,1199911401,Oz,MILLER,GENUINE,DRAFT,,,
3410017579,MILLER GENUINE DRAFT,.83228981,91844.461,75390.906,32604784.88,Oz,MILLER,GENUINE,DRAFT,,,
3410017602,MILLER GENUINE DRAFT,.58658457,2101389.3,1167134.6,745993192.6,Oz,MILLER,GENUINE,DRAFT,,,
3410021505,LOWENBRAU BEER NR BT,.67256641,732110.56,463171.72,259899251.8,Oz,LOWENBRAU,BEER,NR,BT,,
3410021525,LOWENBRAU BEER NR BT,.63187671,11.996011,7.5799999,4258.583984,Oz,LOWENBRAU,BEER,NR,BT,,
3410021526,LOWENBRAU SPECIAL NR,.69939917,539.8205,377.55002,191636.2773,Oz,LOWENBRAU,SPECIAL,NR,,,
3410021528,LOWENBRAU SPECIAL NR,.67616791,218687.28,142452.73,77633986.20999999,Oz,LOWENBRAU,SPECIAL,NR,,,
3410021579,LOWENBRAU BEER,.85427219,21804.75,18501.09,7740686.458,Oz,LOWENBRAU,BEER,,,,
3410022505,LOWENBRAU DARK BEER,.64113802,110435.27,68022.195,39204524.22,Oz,LOWENBRAU,DARK,BEER,,,
3410022525,LOWENBRAU DARK BEER,.58186007,11.996011,6.9799995,4258.583984,Oz,LOWENBRAU,DARK,BEER,,,
3410023505,LOWENBRAU LIGHT NR B,.63393158,85411.602,52016.23,30321118.01,Oz,LOWENBRAU,LIGHT,NR,B,,
3410029306,MEISTER BRAU BEER,.3236762,301195.84,93605.961,106924526.6,Oz,MEISTER,BRAU,BEER,,,
