"","upc","descrip","price","q","sales","volsales","unit","marca","importada","artesanal","ale","lager","Alcohol_volumen","Ano_fund","Sigue"
"172","7199084001","COORS ARTIC ICE NR B","0.64847422","1841.3877","1109.4199","653692.6426","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"173","7199084004","COORS ARTIC ICE CANS","0.6400044","107.9641","69.209999","38327.25586","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"174","7199084009","COORS ARTIC ICE CANS","0.53265512","575.80853","305.76001","204412.0313","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"175","7199090002","COORS EXTRA GOLD BEE","0.4617666","101174.36","45915.051","35916897.35","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"176","7199090014","COORS EXTRA GOLD BEE","0.63116497","12193.945","7671.25","4328850.621","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"177","7199091200","COORS EXTRA GOLD BEE","0.61385059","13069.654","8007.2598","4639727.251","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"178","7199091400","COORS EXTRA GOLD BEE","0.5254631","58252.629","29147.648","20679683.85","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"179","8780000004","COORS CAN","0.46664813","6392.8745","2897.3301","2269470.405","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"180","8780000005","COORS LIGHT","0.47143734","8482.1797","3922.3899","3011173.789","Oz","COORS  ","0","0","no","si","4.2","1978","si"
"181","8066095401","CORONITA N.R. BOTTLE","1.5444542","314.89532","484.60004","111787.8341","Oz","CORONA  ","1","0","no","no","4.5","1926","si"
"182","8066095603","CORONA BIG BTL.","1.18374","7160.4526","8488.0801","2541960.645","Oz","CORONA  ","1","0","no","no","4.5","1926","si"
"183","8066095605","CORONA EXTRA BEER NR","0.96648461","1108713.4","1028249.3","393593238.1","Oz","CORONA  ","1","0","no","no","4.5","1926","si"
"184","8066095615","CORONA EXTRA BEER NR","0.94778055","466980.72","421568.94","165778157.8","Oz","CORONA  ","1","0","no","no","4.5","1926","si"
"185","8066095625","CORONA EXTRA LIGHT N","0.95597613","168639.92","156235.14","59867173.76","Oz","CORONA  ","1","0","no","no","4.5","1926","si"
"186","8382008131","COUNTRY CHASE ALE","1.2487484","893.70282","1116.01","317264.5078","Oz","COUNTRY CHASE ","1","0","","","","",""
"187","73321001102","DEVIL MOUNTAIN FIVE","0.93339729","4156.6177","3806.5598","1475599.352","Oz","DEVIL MOUNTAIN ","0","0","","","","",""
"188","73321002102","DEVIL MTN RAILROAD G","0.93543291","2885.0405","2642.6899","1024189.448","Oz","DEVIL MOUNTAIN ","0","0","","","","",""
"189","73321003102","DEVIL MOUNTAIN BLK H","0.93652344","2585.1404","2391.6899","917724.8486","Oz","DEVIL MOUNTAIN ","0","0","","","","",""
"190","8239300039","DIXIE BLACKENED VOOD","1.1653874","353.88232","412.40997","125628.2275","Oz","DIXIE  ","0","0","","","","",""
"191","3828194001","DOM MICRO BREW MIX N","1.1619884","157855.52","182003.13","56038706.65","Oz","DOM MICRO ","1","1","","","","",""
"192","75089900001","DORTMUNDER BEER","1.2487484","5.9980054","7.4899998","2129.291992","Oz","DORTMUNDER  ","1","0","","","","",""
